index,Unnamed: 0,headline_no_site,site,time,country,bias,year
0,252454,‘Cashed up’ Mother Teresa kept Vatican Bank afloat – journalist,rt.com,2017-11-09 08:00:00+00:00,USA,0.1666666666666666,2017
1,349953,Half dressed woman videobombs Spanish journalist's broadcast [VIDEO],timesnownews.com,2020-04-29 07:00:00+00:00,India,0.1666666666666666,2020
2,285795,Over 50 Women Journalists Support Reporter Behind Tamil Nadu Sand Mafia Exposé,thewire.in,2017-03-23 07:00:00+00:00,India,0.1666666666666666,2017
3,56832,Ramani's acquittal in defamation case vindication of women journalists: IWPC,economictimes.indiatimes.com,2021-02-18 08:00:00+00:00,India,0.1666666666666666,2021
4,212021,Journalist Told She Was ‘Too Ugly’ For Selfies Refuses To Be Bullied By Trolls,unilad.co.uk,2019-09-10 07:00:00+00:00,UK,0.1666666666666666,2019
5,242964,What Not to Wear Seeking Frumpy Female Journalists,gawker.com,2010-09-22 07:00:00+00:00,USA,0.1666666666666666,2010
6,196942,Women journalists in Kerala: Sabarimala just brought the misogyny to the surface,thenewsminute.com,2019-02-09 08:00:00+00:00,India,0.1666666666666666,2019
7,381074,Watch: Indian American Journalist Zakaria’s Tribute to His Mother,thequint.com,2021-04-12 07:00:00+00:00,India,0.1666666666666666,2021
8,187962,Kenyan journalists win first pan African award for reportage on female genital mutilation,theguardian.com,2016-02-10 08:00:00+00:00,India,0.1666666666666666,2016
9,381035,SC Allows Journalist Siddique Kappan to Video Call His Sick Mother,thequint.com,2021-01-22 08:00:00+00:00,India,0.1666666666666666,2021
10,105832,Women cricketers excited ahead of historic IPL exhibition match,indiatimes.com,2018-05-21 07:00:00+00:00,India,0.1666666666666666,2018
11,340244,The gender pay gap: Why are Smriti Mandhana and India’s women cricketers afraid of asking for more?,scroll.in,2020-01-23 08:00:00+00:00,India,0.1666666666666666,2020
12,363840,When Smriti Mandana Called Equal Pay For Women Cricketers ‘Unfair’ & Was Lauded For Clarity,mensxp.com,2021-05-20 07:00:00+00:00,India,0.1666666666666666,2021
13,371116,South Africa's women cricketers flee Bangladesh before COVID shutdown,Ewn.co.za,2021-04-12 07:00:00+00:00,South Africa,0.1666666666666666,2021
14,374665,Aahana Kumra Gets Called Out For Offensive Brownface Makeup In Her Tribute To Cricketer Jhulan Goswami,mashable.com,2021-03-22 07:00:00+00:00,UK,0.1666666666666666,2021
15,82375,"After MS Dhoni, Sachin Tendulkar now a biopic on woman cricketer Jhulan Goswami to be made",freepressjournal.in,2017-09-19 07:00:00+00:00,India,0.3333333333333333,2017
16,185363,Ben Stokes and his mother to sue The Sun over a story about the cricketer's tragic family past,telegraph.co.uk,2019-10-10 07:00:00+00:00,UK,0.1666666666666666,2019
17,98920,"Pakistan Cricketer Hasan Ali Clears Air on Twitter About His Wedding With Indian Girl, Says it is Not Yet Con",india.com,2019-07-31 07:00:00+00:00,India,0.0,2019
18,247310,"In Male Dominated Cricket, Indian PM Narendra Modi Shows How Women Cricketers Should Be Treated",mensxp.com,2017-07-28 07:00:00+00:00,India,0.1666666666666666,2017
19,102509,"Cricketer Amit Mishra booked for assaulting female friend, has a week to appear before cops",indianexpress.com,2015-10-21 07:00:00+00:00,India,0.1666666666666666,2015
20,193260,She fulfills her dream,thehindu.com,2018-05-01 07:00:00+00:00,India,0.3333333333333333,2018
21,308393,Glasgow woman wins dream job as paid theme park tester in Florida,dailyrecord.co.uk,2020-03-04 08:00:00+00:00,UK,0.1666666666666666,2020
22,371456,Reality TV star Faith Nketsi builds her mom her dream house!,dispatchlive.co.za,2020-12-08 08:00:00+00:00,South Africa,0.3333333333333333,2020
23,71736,Dream Girl movie review: Ayushmann Khurrana & some excellent co stars are funny despite bumpy writing,firstpost.com,2019-09-13 07:00:00+00:00,India,0.1666666666666666,2019
24,200716,Nushrat’s Reaction to Ayushmann’s ‘Dream Girl’ Avatar,thequint.com,2019-09-06 07:00:00+00:00,India,0.0,2019
25,103933,Dreams in her Feet,indianexpress.com,2014-04-20 07:00:00+00:00,India,0.1666666666666666,2014
26,360901,Warriors physio Marelize Opperman urges women to follow their dreams,heraldlive.co.za,2020-07-31 07:00:00+00:00,South Africa,0.1666666666666666,2020
27,359679,Jill Biden tells ‘dreamers’ she feels inspired by them,breitbart.com,2021-05-20 07:00:00+00:00,UK,0.1666666666666666,2021
28,63419,"Sofia Carson Talks About Dream Collaborations, What She's Looking for in a Boyfriend & Much More",eonline.com,2018-10-11 07:00:00+00:00,USA,0.1666666666666666,2018
29,262252,"Janhvi Kapoor on her dream wedding: ""I’m going to wear a Kanjeevaram sari""",vogue.in,2019-09-10 07:00:00+00:00,India,0.1666666666666666,2019
30,297164,Female CEOs Get Blamed More than Male Counterparts,wsj.com,2016-11-01 07:00:00+00:00,USA,0.1666666666666666,2016
31,176135,"Why there are so many women managers, but so few women CEOs",scroll.in,2015-03-11 07:00:00+00:00,India,0.1666666666666666,2015
32,277459,The resignation of PepsiCo CEO Indra Nooyi adds to a growing list of female leaders leaving Fortune 500 companies,marketwatch.com,2018-08-06 07:00:00+00:00,USA,0.1666666666666666,2018
33,230887,Former CEO claims Dlamini ran Sassa 'like her own shop',Enca.com,2018-01-26 08:00:00+00:00,South Africa,0.1666666666666666,2018
34,74953,Hear Her Corner CEO's Advice To Help Women Entrepreneurs Thrive,forbes.com,2016-09-13 07:00:00+00:00,India,0.3333333333333333,2016
35,5781,Machaba becomes first female CEO to lead PwC,Sowetanlive.co.za,2019-05-23 07:00:00+00:00,South Africa,0.1666666666666666,2019
36,132524,Mother Is The Necessity Of Invention For An Entrepreneurial Young CEO,ndtv.com,2016-06-15 07:00:00+00:00,India,0.1666666666666666,2016
37,206762,Ex Time Warner CEO Says Women Should Replace All Men | Time,time.com,2017-12-15 08:00:00+00:00,USA,0.1666666666666666,2017
38,297156,How a Woman CEO Affects Sales and Salaries,wsj.com,2016-12-13 08:00:00+00:00,USA,0.1666666666666666,2016
39,214422,"Costco, Microsoft, Insight Global CEOs rank among best leaders for women, survey shows",usatoday.com,2018-06-06 07:00:00+00:00,USA,0.0,2018
40,145461,Stephen Colbert's Sister Will Run For Congress : The Two Way,npr.org,2013-01-18 08:00:00+00:00,USA,0.1666666666666666,2013
41,329309,Record Number Of Women To Serve In The Next US Congress,ndtv.com,2020-11-06 08:00:00+00:00,India,0.1666666666666666,2020
42,262793,Midterms 2018: why Republican women in Congress might become rarer,vox.com,2018-08-02 07:00:00+00:00,USA,0.1666666666666666,2018
43,111898,"More women are going to Congress in 2019 than ever before, and most are Democrats",latimes.com,2018-11-07 08:00:00+00:00,USA,0.1666666666666666,2018
44,357026,Incoming GOP congresswoman to take aim at AOC with conservative 'squad',politico.com,2020-11-29 08:00:00+00:00,USA,0.1666666666666666,2020
45,262635,There’s a record number of women vets in Congress. They just formed their own caucus.,vox.com,2019-05-16 07:00:00+00:00,USA,0.1666666666666666,2019
46,266807,Women In Congress Near Breakthrough Moment in Midterm Elections,bloomberg.com,2018-09-17 07:00:00+00:00,UK,0.1666666666666666,2018
47,262765,"New Congress will feature first Muslim women, more religious diversity",vox.com,2019-01-03 08:00:00+00:00,USA,0.0,2019
48,278626,Woman Congress Worker Kisses Rahul Gandhi On Stage In Gujarat,outlookindia.com,2019-02-14 08:00:00+00:00,India,0.1666666666666666,2019
49,54247,Rahul Gandhi's Gujarat gaffe: Congress Vice President accidentally enters women's toilet!,dnaindia.com,2017-10-12 07:00:00+00:00,India,0.1666666666666666,2017
50,296886,Man Kills Girlfriend and Stabs Her Granddaughter,wsj.com,2016-05-11 07:00:00+00:00,USA,0.5,2016
51,127335,Binge drinking woman had sex with her girlfriend in park as shocked parents looked on,mirror.co.uk,2016-12-05 08:00:00+00:00,UK,0.5,2016
52,183143,"Paul McCartney persuaded his girlfriend's mother to comb his leg hair after gigs, new biography reveals",telegraph.co.uk,2016-06-07 07:00:00+00:00,UK,0.1666666666666666,2016
53,61162,"Reese Witherspoon Talks Success, Girlfriends' Support and Baby Tennessee Stealing Her Brain in Red Magazine",eonline.com,2013-04-29 07:00:00+00:00,USA,0.1666666666666666,2013
54,216668,R. Kelly's lawyer responds to girlfriend Joycelyn Savage's posts distancing herself from singer,usatoday.com,2019-11-24 08:00:00+00:00,USA,0.3333333333333333,2019
55,220032,"Ashley Hamilton, Girlfriend Renee Karalian Welcome Their First Child",usmagazine.com,2016-11-15 08:00:00+00:00,USA,0.1666666666666666,2016
56,79584,Mayim Bialik reveals she spent Thanksgiving with her ex husband and his new girlfriend: 'I was nervous',foxnews.com,2018-11-29 08:00:00+00:00,UK,0.3333333333333333,2018
57,228109,'Psychopath wanted to slit girl's throat in first kill': Teen girl allegedly tried to kill brother's girlfriend,yahoo.com,2016-07-30 07:00:00+00:00,India,0.3333333333333333,2016
58,97338,"Maharashtra: Man Allegedly Holds Ex Girlfriend Captive in Hotel, Rapes Her Repeatedly",india.com,2019-02-12 08:00:00+00:00,India,0.3333333333333333,2019
59,5424,"Kempton Park man beheads girlfriend, stuffs her body in a fridge",News24.com,2019-04-26 07:00:00+00:00,South Africa,0.1666666666666666,2019
60,74821,"The What Founders On Cofounding Relationships, Building Community And Radical Authenticity",forbes.com,2019-07-26 07:00:00+00:00,India,0.0,2019
61,54003,"One out of every 10 Indian women have polycystic ovary syndrome: Dr Duru Shah, Founder President, PCOS Society",dnaindia.com,2015-09-22 07:00:00+00:00,India,0.1666666666666666,2015
62,18743,A startup founder shares her 4 best tricks for saving time,businessinsider.com,2015-12-01 08:00:00+00:00,India,0.1666666666666666,2015
63,75019,"Founders Of Mented Cosmetics Become 15th, 16th Black Women Ever To Raise $1M Capital",forbes.com,2017-10-16 07:00:00+00:00,India,0.1666666666666666,2017
